序号,关卡,选项,分数,内容
ID,levelId,select,selectScore,content
1,level1,news1_select_11,0,迪恩总统一直都是一个心系百姓的基恩共和国人，他的当选是整个国家的好消息！在此祝贺迪恩总统当选！
2,level1,news1_select_12,0,迪恩总统通过合法方式成为总统，对此我们予以承认。但是安东尼迪恩依旧只是一个政客，他未来是否能兑现承诺，依旧是个谜。
3,level1,news1_select_21,0,迪恩总统的上台后还需要尽快恢复政府公信力，目前国家才刚刚稳定下来，人民急需食品，医疗，安全等一系列保障。
4,level1,news1_select_22,0,因为前政府的无视经济规律的胡作非为，国家经济已经到了崩溃的边缘。应当第一时间促进贸易，吸引外资，挽救已是一片废墟的经济！
5,level1,news1_select_31,0,总统在演讲中曾提到，将会积极保护工人阶级利益，对目前国内的各大企业进行监管，这也是目前我们迫切渴望的。
6,level1,news1_select_32,0,总统的第一步，我认为应该是放宽市场限制，鼓励私有制与竞争，促进人民消费。保护创新产权与合同契约关系。
7,level1,news1_select_41,0,但愿国家能够尽快实现社会平等与共同富裕，让人民享受到免费或低价的社会保险与服务，消除阶级差异，实现社会公正与团结。
8,level1,news1_select_42,0,但愿未来我们可以生活在一个弱势群体受到保护，一个尊重多元化，包容其他民族的法治自由社会。
9,level2,news2_select_11,4,总统派出“青年军”维护城市治安，是一项明智而必要的举措，体现了政府对社会秩序和国家安全的高度责任感和担当。
10,level2,news2_select_12,-4,总统派出“青年军”维护城市治安，是一项危险而非法的行为，侵犯了人民的基本权利和自由，破坏了民主制度和法治原则。
11,level2,news2_select_21,5,在当前的动荡局势下，有必要动员一切力量来保护人民的生命财产，打击暴力犯罪，维护法律尊严。
12,level2,news2_select_22,-5,在一个自由开放的社会中，人民有权利表达自己的意见和诉求，有权利通过和平合法的方式来监督和制约政府的权力。
13,level2,news2_select_31,6,青年军是一支忠诚、勇敢、有纪律的队伍，在总统的领导下，为国家和人民奉献了自己的青春和热血，他们是国家的骄傲，人民的英雄。
14,level2,news2_select_32,-6,青年军是受政府操控、缺乏监督和约束的私人武装，在总统的指挥下，滥用暴力，镇压反对者，侵害公民人身安全和财产权利，他们是国家的耻辱，人民公敌。
15,level2,news2_select_41,7,任何对他们的诽谤和攻击，都是对国家和人民利益的背叛和侮辱，都应该受到法律的严惩。
16,level2,news2_select_42,-7,任何对他们的支持和纵容，都是对自由和民主价值的否定和破坏，都应该受到舆论的谴责和抵制。
17,level2,news3_select_11,4,“青年军”维护城市治安，是一项正确和必要的决策，符合国家的利益和安全。反对一些不负责任的媒体，对“青年军”进行诽谤和抹黑，企图破坏社会稳定团结。
18,level2,news3_select_12,-4,“青年军”维护城市治安，是一项错误和危险的决策.支持有良知和勇气的媒体，对“青年军”进行揭露和批评，保护社会的自由和正义。
19,level2,news3_select_21,5,市民应该理解和配合“青年军”的工作，不要被一些别有用心的人所误导和煽动。
20,level2,news3_select_22,-5,市民应该警惕和抵制“青年军”的工作，不要被一些欺骗和恐吓所屈服和沉默。
21,level2,news3_select_31,6,政府应该加强对“青年军”的支持和保护，提高他们的待遇和荣誉，打击任何反对或抵抗他们的行为。
22,level2,news3_select_32,-6,政府应该停止对“青年军”的支持和纵容，取消他们的特权和豁免权，追究他们的责任和罪行。
23,level2,news3_select_41,7,媒体应该客观和公正地报道“青年军”的工作，不要传播虚假和负面的信息，损害他们的形象和声誉。
24,level2,news3_select_42,-7,社会应该监督和制约总统的权力和行为，不要让他对“青年军”的指挥和监督成为他搞独裁的工具。
25,level2,news4_select_11,4,总统派出“青年军”参与社会服务，是一项正确和必要的决策，符合国家的利益和道德。我们支持“青年军”的工作，赞赏他们的热心和奉献。
26,level2,news4_select_12,-4,我们反对“青年军”的工作，谴责他们的欺骗和伪善。我们呼唤有良知和勇气的媒体和人士，对“青年军”的工作进行揭露和批评，保护社会的自由和正义。
27,level2,news4_select_21,5,市民应该感激和配合“青年军”的工作，不要被一些别有用心的人所误导和煽动。
28,level2,news4_select_22,-5,市民应该警惕和抵制“青年军”的工作，不要被一些欺骗和恐吓所屈服和沉默。
29,level2,news4_select_31,6,政府应该加强对“青年军”的支持和鼓励，提高他们的待遇和荣誉，表彰他们的贡献和成就。
30,level2,news4_select_32,-6,政府应该停止对“青年军”的支持和纵容，取消他们的特权和豁免权，追究他们的责任和罪行。
31,level2,news4_select_41,7,社会应该尊重和信任总统的领导和决策，不要干涉或质疑他对“青年军”的指挥和监督。
32,level2,news4_select_42,-7,媒体应该勇敢和积极地报道“青年军”的工作，不要屈从于压力和威胁，揭露他们的罪恶和丑闻。
33,level3,news5_select_11,3,新型病毒极其危险，政府绝不能掉以轻心。封锁疫情严重的地区，禁止人员和物资的流动，实施严格的检疫和隔离措施，防止病毒扩散。
34,level3,news5_select_12,-3,新型病毒极并不恐怖，政府不需要过度反应。公开透明地发布疫情信息，及时更新数据和进展，与国际社会分享经验和技术，寻求合作和支持。
35,level3,news5_select_21,4,启动国家紧急状态，动员所有资源和力量，加快研发和生产疫苗和药物，优先保障医护人员和高危人群的接种和治疗。
36,level3,news5_select_22,-4,尊重和保障人民的基本权利和自由，尽量减少对日常生活和经济活动的干预和限制，鼓励个人和社会团体自主参与防疫工作。
37,level3,news5_select_31,5,强化宣传，普及防疫知识和措施，要求全民服从政府的指令和安排，加强自我防护，避免不必要的外出和聚集。
38,level3,news5_select_32,-5,倡导科学理性的态度，提供可靠有效的防疫知识和措施，尊重个人的选择和意愿，鼓励自愿接种疫苗和治疗。
39,level3,news5_select_41,6,打击和惩治任何散布谣言、制造恐慌、妨碍防疫工作的行为，坚决维护社会秩序和稳定。
40,level3,news5_select_42,-6,监督和问责政府的防疫工作，保障公共利益和社会公平，反对任何滥用权力、侵犯人权、损害民主的行为。
41,level3,news6_select_11,3,新型病毒极其危险，政府绝不能掉以轻心。封锁疫情严重的地区，禁止人员和物资的流动，实施严格的检疫和隔离措施，防止病毒扩散。
42,level3,news6_select_12,-3,新型病毒极并不恐怖，政府不需要过度反应。公开透明地发布疫情信息，及时更新数据和进展，与国际社会分享经验和技术，寻求合作和支持。
43,level3,news6_select_21,4,启动国家紧急状态，动员所有资源和力量，加快研发和生产疫苗和药物，优先保障医护人员和高危人群的接种和治疗。
44,level3,news6_select_22,-4,尊重和保障人民的基本权利和自由，尽量减少对日常生活和经济活动的干预和限制，鼓励个人和社会团体自主参与防疫工作。
45,level3,news6_select_31,5,强化宣传，普及防疫知识和措施，要求全民服从政府的指令和安排，加强自我防护，避免不必要的外出和聚集。
46,level3,news6_select_32,-5,倡导科学理性的态度，提供可靠有效的防疫知识和措施，尊重个人的选择和意愿，鼓励自愿接种疫苗和治疗。
47,level3,news6_select_41,6,打击和惩治任何散布谣言、制造恐慌、妨碍防疫工作的行为，坚决维护社会秩序和稳定。
48,level3,news6_select_42,-6,监督和问责政府的防疫工作，保障公共利益和社会公平，反对任何滥用权力、侵犯人权、损害民主的行为。
49,level3,news7_select_11,3,新型病毒极其危险，政府绝不能掉以轻心。封锁疫情严重的地区，禁止人员和物资的流动，实施严格的检疫和隔离措施，防止病毒扩散。
50,level3,news7_select_12,-3,新型病毒极并不恐怖，政府不需要过度反应。公开透明地发布疫情信息，及时更新数据和进展，与国际社会分享经验和技术，寻求合作和支持。
51,level3,news7_select_21,4,启动国家紧急状态，动员所有资源和力量，加快研发和生产疫苗和药物，优先保障医护人员和高危人群的接种和治疗。
52,level3,news7_select_22,-4,尊重和保障人民的基本权利和自由，尽量减少对日常生活和经济活动的干预和限制，鼓励个人和社会团体自主参与防疫工作。
53,level3,news7_select_31,5,强化宣传，普及防疫知识和措施，要求全民服从政府的指令和安排，加强自我防护，避免不必要的外出和聚集。
54,level3,news7_select_32,-5,倡导科学理性的态度，提供可靠有效的防疫知识和措施，尊重个人的选择和意愿，鼓励自愿接种疫苗和治疗。
55,level3,news7_select_41,6,打击和惩治任何散布谣言、制造恐慌、妨碍防疫工作的行为，坚决维护社会秩序和稳定。
56,level3,news7_select_42,-6,监督和问责政府的防疫工作，保障公共利益和社会公平，反对任何滥用权力、侵犯人权、损害民主的行为。
57,level4,news8_select_11,2,引入人工智能产品是国家的正确决策，符合国家利益和社会发展的需要。
58,level4,news8_select_12,-2,引入人工智能产品是市场的自然选择，反映了当前社会的需求。
59,level4,news8_select_21,3,人工智能产品可以有效地防止海岸病毒的传播，保护公众健康。它们不会感染或携带病毒，也不会成为传染源或隐患。
60,level4,news8_select_22,-3,人工智能可为人类提供更多的便利和选择，也可以为人类创造更多的机会和价值，而且不会被感染。
61,level4,news8_select_31,4,国家应该对人工智能进行严格的监管，确保其符合国家的法律和规范。
62,level4,news8_select_32,-4,政府应该提供自由和开放的人工智能市场环境，鼓励个人和社会团体自主选择和使用，促进人工智能与社会的良性互动。
63,level4,news8_select_41,5,国家应该对失业的低端劳动力人口进行适当安置，引导他们转型或接受再教育。
64,level4,news8_select_42,-5,国家应保障失业人口的基本权利和尊严，鼓励他们自主努力或社会互助。不强制或干涉他们的选择和意愿。
65,level4,news9_select_11,2,人工智能不仅安全，还可以提高国家的竞争力和影响力，增强国家的安全和稳定。
66,level4,news9_select_12,-2,引入人工智能产品是市场的自然选择，反映了当前社会的需求。
67,level4,news9_select_21,3,面对疫情，国家应采取果断措施，以保障国家安全和社会秩序。人工智能在严格的监管下，确保其符合国家的法律和规范。
68,level4,news9_select_22,-3,政府应尊重和保护人工智能的创造者和使用者的权利，避免过度干预和限制。
69,level4,news9_select_31,4,人工智能是未来发展的趋势和方向，国家应该抢占先机和优势，加大对人工智能领域的投入和支持。
70,level4,news9_select_32,-4,政府应该提供自由和开放的人工智能市场环境，鼓励个人和社会团体自主选择和使用，促进人工智能与社会的良性互动。
71,level4,news9_select_41,5,对于失业的低端劳动力人口，国家应制定合理的政策和措施，引导他们适应新的岗位和需求。
72,level4,news9_select_42,-5,国家应保障失业人口的基本权利和尊严，鼓励他们自主努力或社会互助。不强制或干涉他们的选择和意愿。
73,level4,news10_select_11,2,人工智能不仅安全，还可以提高国家的竞争力和影响力，增强国家的安全和稳定。
74,level4,news10_select_12,-2,引入人工智能产品是市场的自然选择，反映了当前社会的需求。
75,level4,news10_select_21,3,面对疫情，国家应采取果断措施，以保障国家安全和社会秩序。人工智能在严格的监管下，确保其符合国家的法律和规范。
76,level4,news10_select_22,-3,政府应尊重和保护人工智能的创造者和使用者的权利，避免过度干预和限制。
77,level4,news10_select_31,4,人工智能是未来发展的趋势和方向，国家应该抢占先机和优势，加大对人工智能领域的投入和支持。
78,level4,news10_select_32,-4,政府应该提供自由和开放的人工智能市场环境，鼓励个人和社会团体自主选择和使用，促进人工智能与社会的良性互动。
79,level4,news10_select_41,5,对于失业的低端劳动力人口，国家应制定合理的政策和措施，引导他们适应新的岗位和需求。
80,level4,news10_select_42,-5,国家应保障失业人口的基本权利和尊严，鼓励他们自主努力或社会互助。不强制或干涉他们的选择和意愿。